episode,steps,reward,success,goal,collision,off_road,timeout,reason,progress_pct,goal_dist,goal_euclid,mean_dL,mean_heading,min_ttc,distance_km,coll_per_km,off_per_km,to_per_km,IS,DS,intervention_rate
1,1520,-29.21,1,1,0,0,0,goal,94.020,12.804,14.807,0.097,0.033,1.021,0.1579,0.0000,0.0000,0.0000,1.0000,94.020,0.0822
2,343,-51.61,0,0,1,0,0,collision,42.613,122.880,97.660,0.173,0.036,0.606,0.0478,20.9341,0.0000,0.0000,0.0000,0.000,0.0729
3,1651,21.91,1,1,0,0,0,goal,93.951,12.953,14.956,0.108,0.030,0.544,0.1577,0.0000,0.0000,0.0000,1.0000,93.951,0.0454
4,1913,24.06,1,1,0,0,0,goal,94.024,12.797,14.800,0.093,0.030,0.577,0.1579,0.0000,0.0000,0.0000,1.0000,94.024,0.0784
5,822,196.60,0,0,0,0,1,stuck,39.265,130.050,103.314,0.137,0.024,0.610,0.0403,0.0000,0.0000,24.7885,0.0000,0.000,0.0912
6,1462,-44.90,1,1,0,0,0,goal,93.937,12.983,14.985,0.107,0.036,0.804,0.1578,0.0000,0.0000,0.0000,1.0000,93.937,0.0855
7,2021,109.09,1,1,0,0,0,goal,94.076,12.684,14.689,0.117,0.027,0.587,0.1582,0.0000,0.0000,0.0000,1.0000,94.076,0.0495
8,1554,-85.15,1,1,0,0,0,goal,93.992,12.865,14.869,0.141,0.035,1.010,0.1583,0.0000,0.0000,0.0000,1.0000,93.992,0.0483
9,1133,-174.82,1,1,0,0,0,goal,93.974,12.903,14.906,0.134,0.039,1.430,0.1577,0.0000,0.0000,0.0000,1.0000,93.974,0.0441
10,1509,-49.24,1,1,0,0,0,goal,94.034,12.774,14.777,0.106,0.035,0.549,0.1582,0.0000,0.0000,0.0000,1.0000,94.034,0.0497
11,1230,-169.14,1,1,0,0,0,goal,94.024,12.797,14.800,0.121,0.045,1.305,0.1578,0.0000,0.0000,0.0000,1.0000,94.024,0.0813
12,1416,-88.48,1,1,0,0,0,goal,93.938,12.980,14.983,0.111,0.032,1.228,0.1577,0.0000,0.0000,0.0000,1.0000,93.938,0.0530
13,850,80.11,0,0,0,0,1,stuck,43.771,120.401,95.211,0.236,0.344,1.965,0.0502,0.0000,0.0000,19.9203,0.0000,0.000,0.0576
14,1239,-80.58,1,1,0,0,0,goal,94.007,12.833,14.836,0.161,0.042,1.752,0.1580,0.0000,0.0000,0.0000,1.0000,94.007,0.0605
15,888,219.74,0,0,0,0,1,stuck,39.120,130.359,103.461,0.144,0.026,0.841,0.0400,0.0000,0.0000,24.9761,0.0000,0.000,0.0563
16,1494,59.00,0,0,0,0,1,stuck,81.385,39.859,37.464,0.184,0.038,0.903,0.1308,0.0000,0.0000,7.6448,0.0000,0.000,0.0395
17,2037,107.06,1,1,0,0,0,goal,94.028,12.789,14.792,0.113,0.026,0.849,0.1581,0.0000,0.0000,0.0000,1.0000,94.028,0.0491
18,1826,58.69,1,1,0,0,0,goal,93.992,12.865,14.868,0.146,0.033,1.131,0.1580,0.0000,0.0000,0.0000,1.0000,93.992,0.0685
19,1747,75.57,1,1,0,0,0,goal,94.077,12.682,14.686,0.102,0.042,2.148,0.1579,0.0000,0.0000,0.0000,1.0000,94.077,0.0572
20,1023,-202.18,1,1,0,0,0,goal,93.951,12.952,14.955,0.156,0.041,1.864,0.1580,0.0000,0.0000,0.0000,1.0000,93.951,0.0733
