type,x,y
route,45.76,137.61
route,47.76,137.62
route,49.76,137.63
route,51.76,137.64
route,53.76,137.65
route,55.76,137.66
route,57.76,137.67
route,59.76,137.69
route,61.76,137.70
route,63.76,137.71
route,65.82,137.70
route,67.91,137.59
route,69.99,137.37
route,72.06,137.03
route,74.11,136.58
route,76.13,136.01
route,78.11,135.34
route,80.06,134.56
route,81.96,133.67
route,83.80,132.67
route,85.59,131.58
route,87.32,130.39
route,88.98,129.11
route,90.56,127.74
route,92.07,126.28
route,93.49,124.74
route,94.82,123.14
route,96.08,121.49
route,97.26,119.79
route,98.38,118.04
route,99.42,116.25
route,100.39,114.42
route,101.28,112.55
route,102.09,110.64
route,102.82,108.71
route,103.48,106.74
route,104.05,104.75
route,104.54,102.74
route,104.95,100.70
route,105.27,98.66
route,105.51,96.60
route,105.67,94.53
route,105.73,92.46
route,105.75,90.45
route,105.76,88.45
route,105.78,86.45
route,105.79,84.45
route,105.80,82.45
route,105.82,80.45
route,105.83,78.45
route,105.84,76.45
route,105.86,74.45
route,105.87,72.45
route,105.89,70.45
route,105.90,68.45
route,105.91,66.45
route,105.93,64.45
route,105.94,62.45
route,105.95,60.45
route,105.97,58.45
route,105.98,56.45
route,105.99,54.45
route,106.01,52.45
route,106.02,50.45
route,106.04,48.45
route,106.05,46.45
route,106.06,44.45
route,106.08,42.45
route,106.09,40.45
route,106.10,38.45
route,106.12,36.45
route,106.10,34.35
route,105.87,32.18
route,105.42,30.05
route,104.74,27.97
route,103.85,25.98
route,102.76,24.09
route,101.46,22.31
route,99.88,20.68
route,98.08,19.32
route,96.09,18.24
route,93.96,17.47
route,91.74,17.04
route,89.54,16.93
route,87.54,16.93
route,85.54,16.92
route,83.54,16.92
route,81.54,16.91
route,79.54,16.90
route,77.54,16.90
route,75.54,16.89
route,73.54,16.89
route,71.54,16.88
route,69.54,16.88
route,67.54,16.87
route,65.54,16.87
route,63.54,16.86
route,61.54,16.85
route,59.54,16.85
route,57.54,16.84
route,55.54,16.84
route,53.54,16.83
route,51.54,16.83
route,49.54,16.82
route,47.54,16.82
ego,45.76,137.61
ego,45.77,137.61
ego,45.77,137.61
ego,45.77,137.61
ego,45.77,137.61
ego,45.77,137.61
ego,45.77,137.61
ego,45.77,137.61
ego,45.77,137.61
ego,45.77,137.61
ego,45.77,137.61
ego,45.77,137.61
ego,45.77,137.61
ego,45.76,137.61
ego,45.76,137.61
ego,45.76,137.61
ego,45.76,137.61
ego,45.76,137.61
ego,45.76,137.61
ego,45.76,137.61
ego,45.76,137.61
ego,45.76,137.61
ego,45.76,137.61
ego,45.76,137.61
ego,45.76,137.61
ego,45.76,137.61
ego,45.76,137.61
ego,45.76,137.61
ego,45.78,137.61
ego,45.83,137.61
ego,45.91,137.61
ego,46.02,137.61
ego,46.14,137.61
ego,46.28,137.61
ego,46.43,137.61
ego,46.59,137.61
ego,46.77,137.61
ego,46.96,137.61
ego,47.17,137.62
ego,47.38,137.62
ego,47.61,137.62
ego,47.83,137.62
ego,48.07,137.62
ego,48.31,137.62
ego,48.55,137.62
ego,48.79,137.63
