type,x,y
route,-18.39,130.10
route,-20.39,130.09
route,-22.39,130.07
route,-24.39,130.06
route,-26.39,130.05
route,-28.39,130.04
route,-30.39,130.02
route,-32.38,130.01
route,-34.38,130.00
route,-36.38,129.99
route,-38.38,129.98
route,-40.38,129.96
route,-42.38,129.95
route,-44.38,129.94
route,-46.38,129.93
route,-48.38,129.91
route,-50.38,129.90
route,-52.38,129.89
route,-54.38,129.88
route,-56.38,129.86
route,-58.38,129.85
route,-60.38,129.84
route,-62.38,129.83
route,-64.15,129.78
route,-65.90,129.65
route,-67.63,129.44
route,-69.36,129.14
route,-71.07,128.77
route,-72.76,128.31
route,-74.42,127.77
route,-76.06,127.15
route,-77.67,126.46
route,-79.24,125.69
route,-80.77,124.85
route,-82.26,123.94
route,-83.71,122.95
route,-85.11,121.90
route,-86.46,120.78
route,-87.75,119.60
route,-88.98,118.36
route,-90.16,117.06
route,-91.27,115.71
route,-92.31,114.31
route,-93.32,112.81
route,-94.31,111.25
route,-95.26,109.66
route,-96.16,108.04
route,-97.02,106.39
route,-97.83,104.73
route,-98.59,103.04
route,-99.30,101.33
route,-99.97,99.60
route,-100.59,97.85
route,-101.16,96.09
route,-101.68,94.31
route,-102.15,92.52
route,-102.57,90.71
route,-102.94,88.90
route,-103.26,87.07
route,-103.53,85.24
route,-103.74,83.40
route,-103.91,81.55
route,-104.02,79.70
route,-104.08,77.85
route,-104.09,76.00
route,-104.07,74.01
route,-104.05,72.01
route,-104.03,70.01
route,-104.00,68.01
route,-103.98,66.01
route,-103.96,64.01
route,-103.94,62.01
route,-103.91,60.01
route,-103.89,58.01
route,-103.87,56.01
route,-103.85,54.01
route,-103.82,52.01
route,-103.80,50.01
route,-103.78,48.01
route,-103.76,46.01
route,-103.73,44.01
route,-103.71,42.01
route,-103.62,40.19
route,-103.31,38.44
route,-102.79,36.74
route,-102.06,35.11
route,-101.13,33.60
route,-100.02,32.21
route,-98.74,30.98
route,-97.32,29.94
route,-95.77,29.11
route,-94.13,28.48
route,-92.41,28.09
route,-90.65,27.94
route,-88.70,27.94
route,-86.70,27.94
route,-84.70,27.95
route,-82.70,27.95
route,-80.70,27.96
route,-78.70,27.97
route,-76.70,27.97
route,-74.70,27.98
route,-72.70,27.98
route,-70.70,27.99
route,-68.70,27.99
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.39,130.10
ego,-18.41,130.10
ego,-18.47,130.10
