type,x,y
route,-41.66,-41.37
route,-41.64,-43.37
route,-41.53,-45.17
route,-41.21,-46.93
route,-40.68,-48.65
route,-39.96,-50.30
route,-39.05,-51.85
route,-37.97,-53.28
route,-36.75,-54.61
route,-35.40,-55.70
route,-33.90,-56.58
route,-32.29,-57.24
route,-30.60,-57.64
route,-28.87,-57.79
route,-26.91,-57.77
route,-24.91,-57.75
route,-22.91,-57.73
route,-20.91,-57.71
route,-18.91,-57.69
route,-16.91,-57.67
route,-14.91,-57.65
route,-12.91,-57.63
route,-10.91,-57.61
route,-8.91,-57.59
route,-6.91,-57.57
route,-4.91,-57.55
route,-2.93,-57.52
route,-0.94,-57.49
route,1.06,-57.46
route,3.07,-57.43
route,5.10,-57.41
route,7.14,-57.40
route,9.14,-57.40
route,11.14,-57.40
route,13.14,-57.40
route,15.14,-57.40
route,17.14,-57.40
route,19.14,-57.40
route,21.14,-57.41
route,23.14,-57.41
route,25.14,-57.41
route,27.14,-57.41
route,29.14,-57.41
route,31.14,-57.41
route,33.14,-57.41
route,35.14,-57.41
route,37.14,-57.41
route,39.14,-57.41
route,41.14,-57.41
route,43.14,-57.41
route,45.14,-57.42
route,47.14,-57.42
route,49.14,-57.42
route,51.14,-57.42
route,53.14,-57.42
route,55.14,-57.42
route,57.14,-57.42
route,59.14,-57.42
route,61.14,-57.42
route,63.14,-57.42
route,65.14,-57.42
route,66.90,-57.39
route,68.63,-57.26
route,70.35,-57.05
route,72.06,-56.75
route,73.75,-56.37
route,75.41,-55.90
route,77.06,-55.34
route,78.67,-54.71
route,80.25,-53.99
route,81.79,-53.19
route,83.28,-52.32
route,84.74,-51.37
route,86.14,-50.35
route,87.48,-49.26
route,88.77,-48.10
route,90.00,-46.88
route,91.17,-45.60
route,92.27,-44.26
route,93.30,-42.86
route,94.26,-41.42
route,95.14,-39.93
route,95.95,-38.40
route,96.68,-36.82
route,97.32,-35.21
route,97.89,-33.58
route,98.37,-31.91
route,98.77,-30.22
route,99.08,-28.52
route,99.30,-26.80
route,99.44,-25.07
route,99.48,-23.34
route,99.46,-21.41
route,99.45,-19.38
route,99.44,-17.35
route,99.44,-15.33
route,99.45,-13.35
route,99.44,-11.37
route,99.43,-9.39
route,99.42,-7.39
route,99.40,-5.39
route,99.39,-3.39
route,99.38,-1.39
route,99.36,0.61
route,99.35,2.61
ego,-41.66,-41.37
ego,-41.66,-41.37
ego,-41.66,-41.37
ego,-41.66,-41.37
ego,-41.66,-41.37
ego,-41.66,-41.37
ego,-41.66,-41.37
ego,-41.66,-41.37
ego,-41.66,-41.37
ego,-41.66,-41.37
ego,-41.66,-41.37
ego,-41.66,-41.37
ego,-41.66,-41.37
ego,-41.66,-41.37
ego,-41.66,-41.37
ego,-41.66,-41.37
ego,-41.66,-41.37
ego,-41.66,-41.37
ego,-41.66,-41.37
ego,-41.66,-41.38
ego,-41.66,-41.41
ego,-41.66,-41.48
ego,-41.66,-41.56
ego,-41.67,-41.66
ego,-41.68,-41.77
ego,-41.69,-41.89
ego,-41.69,-42.01
