type,x,y
route,-45.15,55.72
route,-45.16,53.72
route,-45.16,51.72
route,-45.17,49.72
route,-45.17,47.72
route,-45.18,45.72
route,-45.18,43.72
route,-45.19,41.72
route,-45.19,39.72
route,-45.20,37.72
route,-45.21,35.72
route,-45.21,33.72
route,-45.22,31.72
route,-45.22,29.72
route,-45.23,27.72
route,-45.23,25.72
route,-45.24,23.72
route,-45.25,21.72
route,-45.25,19.72
route,-45.26,17.72
route,-45.26,15.72
route,-45.27,13.72
route,-45.27,11.72
route,-45.28,9.72
route,-45.28,7.72
route,-45.29,5.72
route,-45.30,3.72
route,-45.30,1.72
route,-45.31,-0.28
route,-45.31,-2.28
route,-45.32,-4.28
route,-45.32,-6.28
route,-45.33,-8.29
route,-45.34,-10.29
route,-45.35,-12.28
route,-45.35,-14.28
route,-45.35,-16.27
route,-45.33,-18.27
route,-45.32,-20.27
route,-45.30,-22.27
route,-45.29,-24.27
route,-45.27,-26.27
route,-45.26,-28.27
route,-45.24,-30.27
route,-45.23,-32.27
route,-45.21,-34.27
route,-45.20,-36.27
route,-45.18,-38.27
route,-45.17,-40.27
route,-45.15,-42.27
route,-45.14,-44.27
route,-45.12,-46.27
route,-45.11,-48.27
route,-45.23,-50.49
route,-45.64,-52.68
route,-46.34,-54.79
route,-47.32,-56.80
route,-48.55,-58.66
route,-50.02,-60.34
route,-51.70,-61.81
route,-53.57,-63.04
route,-55.60,-64.00
route,-57.73,-64.68
route,-59.94,-65.05
route,-62.09,-65.14
route,-64.09,-65.16
route,-66.09,-65.18
route,-68.09,-65.20
route,-70.09,-65.22
route,-72.17,-65.21
route,-74.27,-65.07
route,-76.35,-64.81
route,-78.42,-64.44
route,-80.46,-63.95
route,-82.47,-63.34
route,-84.44,-62.61
route,-86.37,-61.77
route,-88.24,-60.83
route,-90.06,-59.77
route,-91.82,-58.62
route,-93.50,-57.37
route,-95.11,-56.02
route,-96.64,-54.58
route,-98.08,-53.05
route,-99.43,-51.46
route,-100.70,-49.81
route,-101.90,-48.12
route,-103.02,-46.37
route,-104.06,-44.57
route,-105.02,-42.73
route,-105.90,-40.85
route,-106.70,-38.94
route,-107.42,-36.99
route,-108.05,-35.01
route,-108.59,-33.01
route,-109.05,-30.98
route,-109.42,-28.94
route,-109.69,-26.88
route,-109.88,-24.81
route,-109.98,-22.74
route,-110.01,-20.72
route,-110.03,-18.72
route,-110.05,-16.72
route,-110.08,-14.72
route,-110.10,-12.72
ego,-45.15,55.72
ego,-45.15,55.71
ego,-45.15,55.71
ego,-45.15,55.71
ego,-45.15,55.71
ego,-45.15,55.71
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.72
ego,-45.15,55.70
ego,-45.15,55.65
ego,-45.15,55.57
ego,-45.15,55.46
ego,-45.15,55.34
ego,-45.15,55.20
ego,-45.15,55.05
ego,-45.15,54.88
ego,-45.15,54.70
ego,-45.15,54.51
ego,-45.15,54.31
ego,-45.15,54.09
ego,-45.16,53.87
ego,-45.16,53.64
ego,-45.16,53.41
ego,-45.16,53.17
ego,-45.17,52.93
ego,-45.17,52.68
ego,-45.17,52.44
ego,-45.17,52.19
ego,-45.16,51.95
ego,-45.15,51.71
ego,-45.14,51.48
ego,-45.14,51.25
ego,-45.13,51.02
ego,-45.12,50.81
ego,-45.11,50.60
ego,-45.10,50.39
ego,-45.10,50.19
ego,-45.09,49.99
ego,-45.08,49.80
ego,-45.08,49.62
ego,-45.07,49.44
ego,-45.06,49.26
ego,-45.06,49.09
ego,-45.05,48.93
ego,-45.05,48.77
ego,-45.04,48.61
ego,-45.04,48.46
ego,-45.04,48.32
ego,-45.04,48.18
ego,-45.05,48.05
ego,-45.05,47.92
ego,-45.04,47.80
ego,-45.04,47.69
ego,-45.04,47.58
ego,-45.04,47.47
ego,-45.04,47.38
ego,-45.04,47.30
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.03,47.28
ego,-45.04,47.27
ego,-45.04,47.27
ego,-45.04,47.25
ego,-45.04,47.22
ego,-45.04,47.18
ego,-45.05,47.13
ego,-45.05,47.07
ego,-45.06,46.99
ego,-45.06,46.91
ego,-45.07,46.81
ego,-45.07,46.69
ego,-45.08,46.57
ego,-45.09,46.43
ego,-45.09,46.29
ego,-45.10,46.13
ego,-45.11,45.97
ego,-45.12,45.81
ego,-45.12,45.63
ego,-45.13,45.46
ego,-45.13,45.28
ego,-45.13,45.10
ego,-45.13,44.92
ego,-45.13,44.75
ego,-45.14,44.57
ego,-45.14,44.38
ego,-45.15,44.20
ego,-45.16,44.01
ego,-45.16,43.81
ego,-45.17,43.61
ego,-45.17,43.41
ego,-45.18,43.20
ego,-45.18,42.99
ego,-45.19,42.78
ego,-45.20,42.56
ego,-45.20,42.33
ego,-45.21,42.11
ego,-45.21,41.88
ego,-45.22,41.64
ego,-45.22,41.41
ego,-45.23,41.17
ego,-45.23,40.94
ego,-45.22,40.71
ego,-45.21,40.49
ego,-45.20,40.26
ego,-45.20,40.05
ego,-45.19,39.84
ego,-45.18,39.63
ego,-45.18,39.42
ego,-45.17,39.21
ego,-45.17,39.00
ego,-45.17,38.79
ego,-45.18,38.58
ego,-45.18,38.37
ego,-45.19,38.15
ego,-45.19,37.93
ego,-45.20,37.70
ego,-45.20,37.47
ego,-45.20,37.24
ego,-45.20,37.01
ego,-45.20,36.78
ego,-45.19,36.54
ego,-45.19,36.31
ego,-45.18,36.09
ego,-45.18,35.87
ego,-45.17,35.65
ego,-45.17,35.45
ego,-45.16,35.24
ego,-45.16,35.05
ego,-45.16,34.86
ego,-45.16,34.67
ego,-45.16,34.49
ego,-45.17,34.32
ego,-45.17,34.15
ego,-45.17,33.99
ego,-45.17,33.84
ego,-45.17,33.69
ego,-45.17,33.54
ego,-45.17,33.40
ego,-45.17,33.27
ego,-45.17,33.14
ego,-45.17,33.02
ego,-45.16,32.90
ego,-45.16,32.79
ego,-45.16,32.68
ego,-45.15,32.58
ego,-45.15,32.50
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.47
ego,-45.15,32.46
ego,-45.15,32.45
ego,-45.15,32.44
ego,-45.16,32.41
ego,-45.16,32.37
ego,-45.16,32.31
ego,-45.16,32.25
ego,-45.17,32.17
ego,-45.17,32.08
ego,-45.17,31.98
ego,-45.17,31.87
ego,-45.18,31.74
ego,-45.18,31.60
ego,-45.18,31.45
ego,-45.18,31.28
ego,-45.19,31.10
ego,-45.19,30.91
ego,-45.19,30.71
ego,-45.19,30.50
ego,-45.19,30.28
ego,-45.20,30.05
ego,-45.20,29.82
ego,-45.20,29.58
ego,-45.20,29.34
ego,-45.21,29.09
ego,-45.21,28.85
ego,-45.21,28.60
ego,-45.21,28.35
ego,-45.20,28.10
ego,-45.20,27.86
ego,-45.19,27.62
ego,-45.19,27.39
ego,-45.19,27.16
ego,-45.19,26.94
ego,-45.19,26.73
ego,-45.19,26.52
ego,-45.20,26.32
ego,-45.20,26.12
ego,-45.20,25.93
ego,-45.20,25.75
ego,-45.20,25.57
ego,-45.20,25.40
ego,-45.21,25.23
ego,-45.21,25.07
ego,-45.21,24.91
ego,-45.21,24.76
ego,-45.21,24.62
ego,-45.21,24.48
ego,-45.21,24.34
ego,-45.21,24.21
ego,-45.21,24.09
ego,-45.21,23.97
ego,-45.21,23.86
ego,-45.22,23.75
ego,-45.22,23.65
ego,-45.22,23.56
ego,-45.22,23.48
ego,-45.22,23.46
ego,-45.22,23.46
ego,-45.22,23.46
ego,-45.22,23.46
