type,x,y
route,83.08,13.41
route,81.08,13.41
route,79.08,13.40
route,77.08,13.40
route,75.08,13.39
route,73.08,13.39
route,71.08,13.38
route,69.08,13.38
route,67.08,13.37
route,65.08,13.36
route,63.08,13.36
route,61.08,13.35
route,59.08,13.35
route,57.08,13.34
route,55.08,13.34
route,53.08,13.33
route,51.08,13.33
route,49.08,13.32
route,47.08,13.31
route,45.08,13.31
route,43.08,13.30
route,41.08,13.30
route,39.08,13.29
route,37.08,13.29
route,35.08,13.28
route,33.08,13.28
route,31.08,13.27
route,29.08,13.26
route,27.08,13.26
route,25.08,13.25
route,23.08,13.25
route,21.08,13.24
route,19.08,13.24
route,17.08,13.23
route,15.08,13.23
route,13.08,13.22
route,11.08,13.21
route,9.08,13.21
route,7.08,13.20
route,5.08,13.20
route,3.08,13.19
route,1.08,13.19
route,-0.92,13.18
route,-2.92,13.18
route,-4.92,13.17
route,-6.92,13.16
route,-8.92,13.16
route,-10.92,13.15
route,-12.92,13.15
route,-14.92,13.14
route,-16.92,13.14
route,-18.92,13.13
route,-20.92,13.13
route,-22.92,13.12
route,-24.92,13.11
route,-26.92,13.11
route,-28.92,13.10
route,-30.92,13.10
route,-32.92,13.09
route,-34.92,13.09
route,-36.92,13.08
route,-38.92,13.08
route,-40.92,13.07
route,-42.92,13.06
route,-44.92,13.06
route,-46.92,13.05
route,-48.92,13.05
route,-50.92,13.04
route,-52.92,13.04
route,-54.92,13.03
route,-56.92,13.03
route,-58.92,13.02
route,-60.92,13.01
route,-62.92,13.01
route,-64.92,13.00
route,-66.92,13.00
route,-68.92,12.99
route,-70.92,12.99
route,-72.92,12.98
route,-74.92,12.98
route,-76.92,12.97
route,-78.92,12.96
route,-80.92,12.96
route,-82.92,12.95
route,-84.92,12.95
route,-86.92,12.94
route,-88.92,12.94
route,-90.92,12.93
route,-92.92,12.93
route,-94.75,12.85
route,-96.54,12.57
route,-98.29,12.10
route,-99.97,11.44
route,-101.57,10.61
route,-103.05,9.61
route,-104.29,8.46
route,-105.31,7.11
route,-106.07,5.61
route,-106.56,3.99
route,-106.76,2.31
route,-106.75,0.38
route,-106.72,-1.62
route,-106.70,-3.62
route,-106.68,-5.62
route,-106.66,-7.62
ego,83.08,13.41
ego,83.07,13.41
ego,83.07,13.41
ego,83.07,13.41
ego,83.07,13.41
ego,83.07,13.42
ego,83.07,13.41
ego,83.08,13.41
ego,83.08,13.42
ego,83.08,13.41
ego,83.08,13.41
ego,83.08,13.41
ego,83.08,13.41
ego,83.08,13.41
ego,83.08,13.41
ego,83.08,13.41
ego,83.08,13.41
ego,83.08,13.41
ego,83.08,13.41
ego,83.08,13.41
ego,83.08,13.41
ego,83.08,13.42
ego,83.08,13.42
ego,83.08,13.42
ego,83.08,13.42
ego,83.08,13.42
ego,83.08,13.42
ego,83.08,13.42
ego,83.06,13.41
ego,83.01,13.41
ego,82.93,13.41
ego,82.83,13.41
ego,82.70,13.41
ego,82.57,13.41
ego,82.41,13.41
ego,82.25,13.41
ego,82.07,13.41
ego,81.87,13.41
ego,81.67,13.41
ego,81.46,13.41
ego,81.23,13.41
ego,81.01,13.41
ego,80.77,13.41
ego,80.53,13.41
ego,80.29,13.41
ego,80.05,13.41
ego,79.80,13.41
ego,79.56,13.40
ego,79.31,13.39
ego,79.07,13.38
ego,78.84,13.37
ego,78.61,13.37
ego,78.39,13.36
ego,78.18,13.36
ego,77.97,13.36
ego,77.77,13.36
ego,77.57,13.36
ego,77.38,13.36
ego,77.20,13.36
ego,77.02,13.36
ego,76.85,13.36
ego,76.68,13.35
ego,76.52,13.35
ego,76.37,13.35
ego,76.22,13.35
ego,76.08,13.35
ego,75.94,13.35
ego,75.81,13.35
ego,75.69,13.35
ego,75.57,13.35
ego,75.46,13.35
ego,75.35,13.35
ego,75.25,13.35
ego,75.18,13.35
ego,75.16,13.35
ego,75.16,13.35
ego,75.16,13.35
ego,75.16,13.35
ego,75.16,13.35
ego,75.16,13.35
ego,75.16,13.35
ego,75.16,13.35
ego,75.16,13.35
ego,75.16,13.35
ego,75.16,13.35
ego,75.16,13.35
ego,75.16,13.35
ego,75.16,13.35
ego,75.16,13.35
ego,75.16,13.35
ego,75.16,13.35
ego,75.16,13.35
ego,75.16,13.35
ego,75.15,13.35
ego,75.15,13.35
ego,75.14,13.35
ego,75.12,13.35
ego,75.09,13.35
ego,75.05,13.35
ego,75.00,13.35
ego,74.94,13.35
ego,74.86,13.35
ego,74.78,13.36
ego,74.67,13.36
ego,74.56,13.36
ego,74.43,13.36
ego,74.30,13.36
ego,74.15,13.36
ego,73.98,13.36
ego,73.81,13.36
ego,73.62,13.36
ego,73.41,13.36
ego,73.20,13.36
ego,72.98,13.36
ego,72.75,13.36
ego,72.52,13.37
ego,72.28,13.37
ego,72.04,13.37
ego,71.80,13.37
ego,71.55,13.37
ego,71.30,13.36
ego,71.05,13.36
ego,70.81,13.35
ego,70.57,13.34
ego,70.33,13.34
ego,70.10,13.33
ego,69.88,13.33
ego,69.66,13.33
ego,69.45,13.33
ego,69.24,13.33
ego,69.05,13.33
ego,68.85,13.33
ego,68.67,13.33
ego,68.49,13.33
ego,68.31,13.33
ego,68.15,13.33
ego,67.98,13.33
ego,67.83,13.33
ego,67.68,13.33
ego,67.53,13.33
ego,67.39,13.33
ego,67.26,13.33
ego,67.13,13.33
ego,67.00,13.33
ego,66.89,13.33
ego,66.78,13.33
ego,66.67,13.34
ego,66.57,13.34
ego,66.49,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.47,13.34
ego,66.46,13.34
ego,66.44,13.34
ego,66.41,13.34
ego,66.37,13.34
ego,66.32,13.34
ego,66.25,13.34
ego,66.18,13.34
ego,66.09,13.34
ego,65.99,13.34
ego,65.88,13.34
ego,65.75,13.34
ego,65.61,13.34
ego,65.46,13.34
ego,65.30,13.34
ego,65.12,13.34
ego,64.93,13.34
ego,64.73,13.34
ego,64.52,13.34
ego,64.30,13.34
ego,64.07,13.34
ego,63.84,13.34
ego,63.60,13.34
ego,63.36,13.34
ego,63.11,13.35
ego,62.87,13.34
ego,62.62,13.34
ego,62.37,13.33
ego,62.12,13.32
ego,61.88,13.32
ego,61.65,13.31
ego,61.42,13.31
ego,61.19,13.31
ego,60.97,13.31
ego,60.76,13.31
ego,60.56,13.31
ego,60.36,13.32
ego,60.17,13.31
ego,59.98,13.31
ego,59.80,13.31
ego,59.62,13.31
ego,59.45,13.31
ego,59.29,13.31
ego,59.13,13.31
ego,58.98,13.31
ego,58.84,13.31
ego,58.69,13.31
ego,58.56,13.31
ego,58.43,13.31
ego,58.31,13.32
ego,58.19,13.32
ego,58.08,13.32
ego,57.97,13.32
ego,57.87,13.32
ego,57.78,13.32
ego,57.71,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.70,13.32
ego,57.69,13.32
ego,57.68,13.32
ego,57.67,13.32
ego,57.64,13.32
ego,57.60,13.32
ego,57.55,13.32
ego,57.48,13.32
ego,57.41,13.32
ego,57.32,13.32
ego,57.22,13.33
ego,57.11,13.33
ego,56.98,13.33
ego,56.84,13.33
ego,56.69,13.33
ego,56.53,13.33
ego,56.35,13.33
ego,56.16,13.33
ego,55.96,13.33
ego,55.75,13.33
ego,55.53,13.33
ego,55.30,13.32
ego,55.07,13.32
ego,54.83,13.32
ego,54.59,13.32
ego,54.34,13.32
ego,54.09,13.32
ego,53.85,13.31
ego,53.60,13.31
ego,53.35,13.30
ego,53.11,13.29
ego,52.88,13.29
ego,52.65,13.29
ego,52.42,13.29
ego,52.20,13.29
ego,51.99,13.29
ego,51.79,13.29
ego,51.59,13.29
ego,51.40,13.29
ego,51.21,13.29
ego,51.03,13.29
ego,50.85,13.29
ego,50.68,13.29
ego,50.52,13.29
ego,50.36,13.29
ego,50.21,13.29
ego,50.06,13.30
ego,49.92,13.30
ego,49.79,13.30
ego,49.66,13.30
ego,49.53,13.30
ego,49.42,13.30
ego,49.31,13.30
ego,49.20,13.30
ego,49.10,13.30
ego,49.01,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.98,13.30
ego,48.97,13.30
ego,48.95,13.30
ego,48.92,13.30
ego,48.88,13.30
ego,48.83,13.30
ego,48.77,13.30
ego,48.69,13.30
ego,48.60,13.30
ego,48.50,13.30
ego,48.39,13.30
ego,48.26,13.30
ego,48.12,13.30
ego,47.97,13.30
ego,47.81,13.30
ego,47.63,13.30
ego,47.44,13.30
ego,47.24,13.30
ego,47.03,13.30
ego,46.81,13.30
ego,46.58,13.30
ego,46.35,13.30
ego,46.11,13.30
ego,45.87,13.30
ego,45.62,13.30
ego,45.38,13.29
ego,45.13,13.29
ego,44.88,13.28
ego,44.63,13.27
ego,44.39,13.27
ego,44.16,13.27
ego,43.92,13.27
ego,43.70,13.27
ego,43.48,13.27
ego,43.27,13.27
ego,43.07,13.27
ego,42.87,13.27
ego,42.67,13.27
ego,42.48,13.27
ego,42.30,13.28
ego,42.13,13.27
ego,41.95,13.27
ego,41.79,13.27
ego,41.63,13.27
ego,41.48,13.28
ego,41.33,13.28
ego,41.18,13.28
ego,41.05,13.28
ego,40.91,13.28
ego,40.79,13.28
ego,40.67,13.28
ego,40.55,13.28
ego,40.44,13.29
ego,40.34,13.29
ego,40.24,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.18,13.29
ego,40.17,13.29
ego,40.17,13.29
ego,40.15,13.29
ego,40.12,13.29
ego,40.08,13.29
ego,40.03,13.29
ego,39.97,13.29
ego,39.89,13.29
ego,39.80,13.29
ego,39.70,13.29
ego,39.59,13.29
ego,39.47,13.29
ego,39.33,13.29
ego,39.18,13.29
ego,39.01,13.29
ego,38.84,13.28
ego,38.65,13.28
ego,38.45,13.28
ego,38.24,13.28
ego,38.01,13.28
ego,37.79,13.28
ego,37.55,13.28
ego,37.32,13.28
ego,37.08,13.28
ego,36.83,13.28
ego,36.58,13.27
ego,36.34,13.27
ego,36.09,13.26
ego,35.84,13.26
ego,35.60,13.25
ego,35.36,13.25
ego,35.13,13.26
ego,34.90,13.26
ego,34.68,13.26
ego,34.47,13.26
ego,34.26,13.26
ego,34.06,13.26
ego,33.86,13.26
ego,33.67,13.26
ego,33.48,13.26
ego,33.30,13.26
ego,33.13,13.25
ego,32.96,13.25
ego,32.79,13.25
ego,32.63,13.25
ego,32.48,13.25
ego,32.33,13.25
ego,32.19,13.25
ego,32.06,13.25
ego,31.93,13.25
ego,31.80,13.25
ego,31.69,13.25
ego,31.58,13.26
ego,31.47,13.26
ego,31.37,13.26
ego,31.32,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.31,13.26
ego,31.30,13.26
ego,31.28,13.26
ego,31.25,13.26
ego,31.21,13.26
ego,31.16,13.26
ego,31.10,13.26
ego,31.02,13.26
ego,30.93,13.26
ego,30.83,13.26
ego,30.72,13.26
ego,30.59,13.26
ego,30.45,13.26
ego,30.30,13.26
ego,30.13,13.26
ego,29.95,13.26
ego,29.76,13.26
ego,29.56,13.26
ego,29.35,13.26
ego,29.13,13.26
ego,28.90,13.26
ego,28.67,13.26
ego,28.43,13.26
ego,28.19,13.25
ego,27.95,13.25
ego,27.70,13.25
ego,27.45,13.24
ego,27.20,13.24
ego,26.96,13.23
ego,26.71,13.23
ego,26.48,13.24
ego,26.25,13.24
ego,26.02,13.24
ego,25.80,13.24
ego,25.59,13.24
ego,25.38,13.24
ego,25.17,13.23
ego,24.97,13.23
ego,24.78,13.23
ego,24.59,13.23
ego,24.41,13.23
ego,24.23,13.23
ego,24.06,13.23
ego,23.89,13.22
ego,23.73,13.22
ego,23.57,13.22
ego,23.42,13.22
ego,23.27,13.23
ego,23.13,13.23
ego,23.00,13.23
ego,22.87,13.23
ego,22.75,13.23
ego,22.63,13.23
ego,22.52,13.24
ego,22.41,13.24
ego,22.31,13.24
ego,22.22,13.24
ego,22.14,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.13,13.25
ego,22.12,13.25
ego,22.10,13.25
ego,22.07,13.25
ego,22.03,13.24
ego,21.98,13.24
ego,21.91,13.24
ego,21.84,13.24
ego,21.75,13.24
ego,21.65,13.24
ego,21.54,13.24
ego,21.42,13.24
ego,21.28,13.24
ego,21.13,13.24
ego,20.97,13.24
ego,20.79,13.24
ego,20.60,13.24
ego,20.40,13.24
ego,20.19,13.24
ego,19.97,13.24
ego,19.74,13.23
ego,19.51,13.23
ego,19.27,13.23
ego,19.03,13.23
ego,18.78,13.23
ego,18.54,13.23
ego,18.29,13.23
ego,18.04,13.23
ego,17.79,13.23
ego,17.55,13.23
ego,17.31,13.23
ego,17.08,13.23
ego,16.85,13.23
ego,16.62,13.22
ego,16.39,13.22
ego,16.17,13.22
ego,15.95,13.22
ego,15.73,13.22
ego,15.51,13.22
ego,15.29,13.22
ego,15.07,13.22
ego,14.85,13.22
ego,14.63,13.23
ego,14.40,13.23
ego,14.17,13.23
ego,13.94,13.24
ego,13.71,13.24
ego,13.48,13.24
ego,13.25,13.24
ego,13.02,13.24
ego,12.80,13.24
ego,12.57,13.24
ego,12.35,13.24
ego,12.13,13.24
ego,11.91,13.24
ego,11.68,13.24
ego,11.46,13.24
ego,11.24,13.25
ego,11.01,13.25
ego,10.78,13.26
ego,10.56,13.26
ego,10.33,13.26
ego,10.10,13.26
ego,9.87,13.26
ego,9.65,13.26
ego,9.42,13.26
ego,9.20,13.26
ego,8.98,13.26
ego,8.75,13.26
