type,x,y
route,7.41,-60.90
route,9.41,-60.90
route,11.41,-60.90
route,13.41,-60.90
route,15.41,-60.90
route,17.41,-60.90
route,19.41,-60.90
route,21.41,-60.91
route,23.41,-60.91
route,25.41,-60.91
route,27.41,-60.91
route,29.41,-60.91
route,31.41,-60.91
route,33.41,-60.91
route,35.41,-60.91
route,37.41,-60.91
route,39.41,-60.91
route,41.41,-60.91
route,43.41,-60.91
route,45.41,-60.92
route,47.41,-60.92
route,49.41,-60.92
route,51.41,-60.92
route,53.41,-60.92
route,55.41,-60.92
route,57.41,-60.92
route,59.41,-60.92
route,61.41,-60.92
route,63.41,-60.92
route,65.41,-60.92
route,67.32,-60.87
route,69.22,-60.72
route,71.12,-60.48
route,73.00,-60.13
route,74.86,-59.70
route,76.69,-59.17
route,78.50,-58.54
route,80.27,-57.83
route,82.01,-57.03
route,83.70,-56.14
route,85.34,-55.16
route,86.93,-54.11
route,88.47,-52.97
route,89.95,-51.76
route,91.36,-50.47
route,92.71,-49.12
route,93.98,-47.69
route,95.19,-46.21
route,96.31,-44.66
route,97.36,-43.06
route,98.32,-41.41
route,99.20,-39.72
route,99.99,-37.98
route,100.69,-36.20
route,101.30,-34.39
route,101.82,-32.55
route,102.25,-30.69
route,102.57,-28.80
route,102.81,-26.91
route,102.94,-25.00
route,102.98,-23.09
route,102.96,-21.10
route,102.94,-19.09
route,102.94,-17.08
route,102.94,-15.08
route,102.95,-13.08
route,102.94,-11.09
route,102.93,-9.09
route,102.91,-7.09
route,102.90,-5.09
route,102.89,-3.09
route,102.87,-1.09
route,102.86,0.91
route,102.85,2.91
route,102.83,4.91
route,102.82,6.91
route,102.81,8.91
route,102.79,10.91
route,102.78,12.91
route,102.76,14.91
route,102.75,16.91
route,102.74,18.91
route,102.72,20.91
route,102.71,22.91
route,102.70,24.91
route,102.68,26.91
route,102.67,28.91
route,102.66,30.91
route,102.64,32.91
route,102.63,34.91
route,102.61,36.91
route,102.60,38.91
route,102.59,40.91
