type,x,y
route,-64.64,24.50
route,-62.64,24.51
route,-60.64,24.52
route,-58.64,24.52
route,-56.64,24.53
route,-54.64,24.53
route,-52.64,24.54
route,-50.64,24.54
route,-48.64,24.55
route,-46.64,24.55
route,-44.64,24.56
route,-42.64,24.57
route,-40.64,24.57
route,-38.64,24.58
route,-36.64,24.58
route,-34.64,24.59
route,-32.64,24.59
route,-30.64,24.60
route,-28.64,24.60
route,-26.64,24.61
route,-24.64,24.62
route,-22.64,24.62
route,-20.64,24.63
route,-18.64,24.63
route,-16.64,24.64
route,-14.64,24.64
route,-12.64,24.65
route,-10.64,24.65
route,-8.64,24.66
route,-6.64,24.67
route,-4.64,24.67
route,-2.64,24.68
route,-0.64,24.68
route,1.36,24.69
route,3.36,24.69
route,5.36,24.70
route,7.36,24.70
route,9.36,24.71
route,11.36,24.72
route,13.36,24.72
route,15.36,24.73
route,17.35,24.73
route,19.35,24.74
route,21.35,24.74
route,23.35,24.75
route,25.35,24.75
route,27.35,24.76
route,29.35,24.77
route,31.35,24.77
route,33.35,24.78
route,35.35,24.78
route,37.35,24.79
route,39.35,24.79
route,41.35,24.80
route,43.35,24.80
route,45.35,24.81
route,47.35,24.82
route,49.35,24.82
route,51.35,24.83
route,53.35,24.83
route,55.35,24.84
route,57.35,24.84
route,59.35,24.85
route,61.35,24.85
route,63.35,24.86
route,65.35,24.87
route,67.35,24.87
route,69.35,24.88
route,71.35,24.88
route,73.35,24.89
route,75.35,24.89
route,77.35,24.90
route,79.35,24.90
route,81.35,24.91
route,83.35,24.92
route,85.35,24.92
route,87.35,24.93
route,89.35,24.93
route,91.35,24.94
route,93.58,24.83
route,95.85,24.32
route,97.98,23.40
route,99.90,22.10
route,101.55,20.47
route,102.88,18.57
route,103.85,16.65
route,104.66,14.67
route,105.32,12.64
route,105.81,10.56
route,106.14,8.45
route,106.31,6.32
route,106.34,4.27
route,106.35,2.27
route,106.36,0.27
route,106.38,-1.73
route,106.39,-3.73
route,106.41,-5.73
route,106.42,-7.73
route,106.43,-9.73
route,106.44,-11.74
route,106.45,-13.75
route,106.44,-15.75
route,106.44,-17.74
route,106.45,-19.73
route,106.47,-21.72
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.64,24.50
ego,-64.63,24.50
ego,-64.58,24.50
ego,-64.50,24.50
ego,-64.40,24.50
ego,-64.27,24.51
ego,-64.14,24.51
ego,-63.99,24.51
ego,-63.82,24.51
ego,-63.64,24.51
ego,-63.45,24.51
ego,-63.25,24.51
ego,-63.03,24.51
ego,-62.81,24.51
ego,-62.58,24.51
ego,-62.35,24.51
