type,x,y
route,-114.23,43.82
route,-114.26,45.82
route,-114.28,47.82
route,-114.30,49.82
route,-114.32,51.82
route,-114.34,53.82
route,-114.37,55.82
route,-114.39,57.82
route,-114.41,59.82
route,-114.43,61.82
route,-114.46,63.82
route,-114.48,65.82
route,-114.50,67.82
route,-114.52,69.82
route,-114.55,71.82
route,-114.57,73.82
route,-114.59,75.83
route,-114.58,77.97
route,-114.51,80.12
route,-114.39,82.26
route,-114.20,84.40
route,-113.95,86.53
route,-113.64,88.66
route,-113.27,90.77
route,-112.85,92.88
route,-112.36,94.97
route,-111.82,97.04
route,-111.22,99.10
route,-110.56,101.15
route,-109.85,103.17
route,-109.08,105.18
route,-108.25,107.16
route,-107.37,109.11
route,-106.43,111.05
route,-105.44,112.95
route,-104.40,114.83
route,-103.30,116.67
route,-102.16,118.49
route,-100.93,120.31
route,-99.59,122.12
route,-98.16,123.86
route,-96.66,125.53
route,-95.07,127.12
route,-93.41,128.64
route,-91.69,130.08
route,-89.89,131.44
route,-88.03,132.71
route,-86.12,133.89
route,-84.15,134.98
route,-82.13,135.97
route,-80.06,136.86
route,-77.96,137.66
route,-75.82,138.35
route,-73.65,138.94
route,-71.45,139.43
route,-69.24,139.81
route,-67.00,140.09
route,-64.76,140.26
route,-62.52,140.33
route,-60.52,140.34
route,-58.52,140.35
route,-56.52,140.36
route,-54.52,140.38
route,-52.52,140.39
route,-50.52,140.40
route,-48.52,140.41
route,-46.52,140.43
route,-44.52,140.44
route,-42.52,140.45
route,-40.52,140.46
route,-38.52,140.47
route,-36.52,140.49
route,-34.52,140.50
route,-32.52,140.51
route,-30.52,140.52
route,-28.52,140.54
route,-26.52,140.55
route,-24.52,140.56
route,-22.52,140.57
route,-20.52,140.59
route,-18.52,140.60
route,-16.52,140.61
route,-14.52,140.62
route,-12.52,140.63
route,-10.52,140.65
route,-8.52,140.66
route,-6.52,140.67
route,-4.52,140.68
route,-2.52,140.70
route,-0.52,140.71
route,1.48,140.72
route,3.46,140.74
route,5.43,140.76
route,7.41,140.79
route,9.40,140.83
route,11.41,140.87
route,13.43,140.91
route,15.45,140.93
route,17.47,140.95
route,19.48,140.96
route,21.48,140.97
route,23.48,140.98
route,25.48,140.99
route,27.48,141.01
route,29.48,141.02
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.82
ego,-114.23,43.83
ego,-114.23,43.88
ego,-114.23,43.97
ego,-114.24,44.07
ego,-114.24,44.19
ego,-114.24,44.33
ego,-114.24,44.48
ego,-114.24,44.64
ego,-114.24,44.82
ego,-114.25,45.02
ego,-114.25,45.22
ego,-114.25,45.43
ego,-114.25,45.66
ego,-114.26,45.89
ego,-114.26,46.12
ego,-114.26,46.36
ego,-114.26,46.61
ego,-114.26,46.85
ego,-114.27,47.10
ego,-114.28,47.34
ego,-114.29,47.59
ego,-114.30,47.83
ego,-114.31,48.07
ego,-114.32,48.29
ego,-114.32,48.52
ego,-114.32,48.73
ego,-114.33,48.94
ego,-114.33,49.15
ego,-114.33,49.34
ego,-114.34,49.54
ego,-114.34,49.72
ego,-114.34,49.90
ego,-114.34,50.07
ego,-114.34,50.24
ego,-114.35,50.40
ego,-114.35,50.56
ego,-114.35,50.71
ego,-114.35,50.85
ego,-114.35,50.99
ego,-114.35,51.12
ego,-114.35,51.24
ego,-114.35,51.36
ego,-114.36,51.48
ego,-114.36,51.58
ego,-114.36,51.68
ego,-114.36,51.77
ego,-114.36,51.81
ego,-114.36,51.81
