type,x,y
route,-71.18,132.34
route,-73.04,131.87
route,-74.87,131.31
route,-76.68,130.67
route,-78.45,129.95
route,-80.19,129.14
route,-81.88,128.24
route,-83.54,127.27
route,-85.14,126.22
route,-86.69,125.10
route,-88.19,123.90
route,-89.63,122.64
route,-91.01,121.30
route,-92.32,119.90
route,-93.56,118.45
route,-94.73,116.93
route,-95.84,115.36
route,-96.90,113.72
route,-97.91,112.05
route,-98.88,110.36
route,-99.80,108.64
route,-100.67,106.89
route,-101.49,105.13
route,-102.27,103.33
route,-102.99,101.52
route,-103.66,99.69
route,-104.28,97.84
route,-104.85,95.97
route,-105.36,94.09
route,-105.83,92.20
route,-106.24,90.29
route,-106.59,88.37
route,-106.90,86.44
route,-107.14,84.51
route,-107.34,82.57
route,-107.48,80.62
route,-107.56,78.67
route,-107.60,76.72
route,-107.58,74.74
route,-107.56,72.74
route,-107.53,70.74
route,-107.51,68.75
route,-107.49,66.75
route,-107.47,64.75
route,-107.44,62.75
route,-107.42,60.75
route,-107.40,58.75
route,-107.38,56.75
route,-107.35,54.75
route,-107.33,52.75
route,-107.31,50.75
route,-107.29,48.75
route,-107.27,46.75
route,-107.24,44.75
route,-107.22,42.75
route,-107.20,40.75
route,-107.18,38.75
route,-107.09,36.91
route,-106.81,35.14
route,-106.31,33.42
route,-105.62,31.77
route,-104.74,30.21
route,-103.67,28.77
route,-102.46,27.50
route,-101.09,26.43
route,-99.57,25.57
route,-97.95,24.94
route,-96.25,24.56
route,-94.51,24.42
route,-92.52,24.43
route,-90.52,24.43
route,-88.52,24.44
route,-86.52,24.44
route,-84.52,24.45
route,-82.52,24.45
route,-80.52,24.46
route,-78.52,24.47
route,-76.52,24.47
route,-74.52,24.48
route,-72.52,24.48
route,-70.52,24.49
route,-68.52,24.49
route,-66.52,24.50
route,-64.52,24.50
route,-62.52,24.51
route,-60.52,24.52
route,-58.52,24.52
route,-56.52,24.53
route,-54.52,24.53
route,-52.52,24.54
route,-50.52,24.54
route,-48.52,24.55
route,-46.52,24.55
route,-44.52,24.56
route,-42.52,24.57
route,-40.52,24.57
route,-38.52,24.58
route,-36.52,24.58
route,-34.52,24.59
route,-32.52,24.59
route,-30.52,24.60
route,-28.52,24.60
route,-26.52,24.61
route,-24.52,24.62
route,-22.52,24.62
ego,-71.22,132.33
ego,-71.22,132.33
ego,-71.22,132.33
ego,-71.22,132.33
ego,-71.22,132.33
ego,-71.22,132.33
ego,-71.22,132.33
ego,-71.22,132.33
ego,-71.22,132.33
ego,-71.22,132.33
ego,-71.22,132.33
ego,-71.22,132.33
ego,-71.22,132.33
ego,-71.22,132.33
ego,-71.22,132.33
ego,-71.22,132.33
ego,-71.22,132.33
ego,-71.22,132.33
ego,-71.22,132.33
ego,-71.23,132.32
ego,-71.27,132.31
ego,-71.35,132.29
ego,-71.45,132.27
ego,-71.56,132.24
ego,-71.69,132.20
ego,-71.84,132.16
ego,-71.99,132.11
ego,-72.16,132.06
ego,-72.34,132.01
ego,-72.53,131.96
ego,-72.72,131.90
ego,-72.92,131.84
ego,-73.12,131.78
ego,-73.33,131.72
ego,-73.54,131.67
ego,-73.76,131.62
ego,-73.97,131.56
ego,-74.19,131.49
ego,-74.42,131.41
ego,-74.64,131.33
ego,-74.86,131.25
ego,-75.10,131.18
ego,-75.33,131.11
ego,-75.58,131.05
ego,-75.82,130.97
ego,-76.06,130.90
ego,-76.29,130.82
ego,-76.53,130.73
ego,-76.76,130.65
ego,-76.99,130.56
ego,-77.22,130.48
ego,-77.44,130.39
ego,-77.66,130.30
ego,-77.87,130.21
ego,-78.07,130.12
ego,-78.27,130.03
ego,-78.46,129.95
ego,-78.65,129.86
ego,-78.83,129.77
ego,-79.01,129.69
ego,-79.19,129.62
ego,-79.36,129.54
ego,-79.53,129.47
ego,-79.69,129.39
ego,-79.85,129.31
ego,-80.01,129.24
ego,-80.16,129.16
ego,-80.31,129.08
ego,-80.47,129.01
ego,-80.63,128.93
ego,-80.79,128.85
ego,-80.95,128.78
ego,-81.12,128.70
ego,-81.29,128.62
ego,-81.47,128.54
ego,-81.64,128.45
ego,-81.81,128.36
ego,-81.99,128.26
ego,-82.16,128.17
ego,-82.34,128.07
ego,-82.51,127.98
ego,-82.68,127.88
ego,-82.84,127.78
ego,-83.01,127.69
ego,-83.17,127.59
ego,-83.34,127.49
ego,-83.50,127.39
ego,-83.66,127.29
ego,-83.82,127.19
ego,-83.98,127.09
ego,-84.14,126.99
ego,-84.30,126.89
ego,-84.46,126.79
ego,-84.61,126.68
ego,-84.77,126.58
