type,x,y
route,-27.16,137.04
route,-25.16,137.06
route,-23.16,137.07
route,-21.16,137.08
route,-19.16,137.09
route,-17.16,137.11
route,-15.16,137.12
route,-13.16,137.13
route,-11.16,137.14
route,-9.16,137.15
route,-7.16,137.17
route,-5.16,137.18
route,-3.16,137.19
route,-1.16,137.20
route,0.84,137.22
route,2.83,137.23
route,4.83,137.25
route,6.82,137.28
route,8.81,137.32
route,10.81,137.36
route,12.82,137.40
route,14.83,137.43
route,16.83,137.44
route,18.84,137.46
route,20.84,137.47
route,22.84,137.48
route,24.84,137.49
route,26.84,137.50
route,28.84,137.51
route,30.84,137.52
route,32.84,137.54
route,34.84,137.55
route,36.84,137.56
route,38.84,137.57
route,40.84,137.58
route,42.84,137.59
route,44.84,137.60
route,46.84,137.61
route,48.84,137.62
route,50.84,137.64
route,52.84,137.65
route,54.84,137.66
route,56.84,137.67
route,58.84,137.68
route,60.84,137.69
route,62.84,137.70
route,64.85,137.71
route,66.94,137.66
route,69.03,137.49
route,71.11,137.20
route,73.16,136.80
route,75.20,136.29
route,77.20,135.66
route,79.16,134.93
route,81.08,134.09
route,82.95,133.15
route,84.77,132.10
route,86.53,130.96
route,88.22,129.72
route,89.84,128.38
route,91.38,126.97
route,92.84,125.47
route,94.22,123.89
route,95.51,122.26
route,96.72,120.58
route,97.87,118.86
route,98.94,117.09
route,99.95,115.27
route,100.87,113.42
route,101.72,111.53
route,102.49,109.61
route,103.18,107.65
route,103.79,105.67
route,104.32,103.67
route,104.77,101.65
route,105.13,99.61
route,105.41,97.56
route,105.60,95.49
route,105.71,93.42
route,105.74,91.38
route,105.76,89.38
route,105.77,87.38
route,105.78,85.38
route,105.80,83.38
route,105.81,81.38
route,105.82,79.38
route,105.84,77.38
route,105.85,75.38
route,105.87,73.38
route,105.88,71.38
route,105.89,69.38
route,105.91,67.38
route,105.92,65.38
route,105.93,63.38
route,105.95,61.38
route,105.96,59.38
route,105.97,57.38
route,105.99,55.38
route,106.00,53.38
route,106.02,51.38
route,106.03,49.38
route,106.04,47.38
route,106.06,45.38
route,106.07,43.38
route,106.08,41.38
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.16,137.04
ego,-27.15,137.04
ego,-27.10,137.04
ego,-27.02,137.04
ego,-26.91,137.05
ego,-26.79,137.05
ego,-26.65,137.05
ego,-26.50,137.05
ego,-26.34,137.05
ego,-26.16,137.05
ego,-25.97,137.05
ego,-25.76,137.05
ego,-25.55,137.05
ego,-25.32,137.06
ego,-25.10,137.06
ego,-24.86,137.06
ego,-24.62,137.06
ego,-24.38,137.06
ego,-24.14,137.06
ego,-23.89,137.07
ego,-23.64,137.08
ego,-23.40,137.09
ego,-23.16,137.09
ego,-22.93,137.10
ego,-22.70,137.10
ego,-22.47,137.11
ego,-22.26,137.11
ego,-22.05,137.11
ego,-21.85,137.11
ego,-21.65,137.12
ego,-21.46,137.12
ego,-21.27,137.12
