type,x,y
route,-45.19,-36.50
route,-45.18,-38.50
route,-45.16,-40.50
route,-45.15,-42.50
route,-45.13,-44.50
route,-45.12,-46.50
route,-45.10,-48.52
route,-45.26,-50.74
route,-45.71,-52.93
route,-46.44,-55.04
route,-47.45,-57.03
route,-48.71,-58.87
route,-50.20,-60.53
route,-51.91,-61.97
route,-53.80,-63.17
route,-55.84,-64.10
route,-57.99,-64.74
route,-60.20,-65.08
route,-62.33,-65.14
route,-64.33,-65.16
route,-66.33,-65.19
route,-68.33,-65.21
route,-70.33,-65.23
route,-72.42,-65.20
route,-74.51,-65.05
route,-76.60,-64.78
route,-78.66,-64.39
route,-80.70,-63.88
route,-82.70,-63.26
route,-84.67,-62.52
route,-86.59,-61.67
route,-88.46,-60.71
route,-90.27,-59.64
route,-92.02,-58.48
route,-93.69,-57.21
route,-95.29,-55.85
route,-96.81,-54.40
route,-98.25,-52.87
route,-99.59,-51.27
route,-100.84,-49.62
route,-102.03,-47.91
route,-103.14,-46.16
route,-104.17,-44.36
route,-105.13,-42.51
route,-106.00,-40.63
route,-106.79,-38.71
route,-107.50,-36.76
route,-108.12,-34.78
route,-108.65,-32.77
route,-109.10,-30.74
route,-109.45,-28.70
route,-109.72,-26.64
route,-109.90,-24.57
route,-109.99,-22.50
route,-110.01,-20.48
route,-110.03,-18.48
route,-110.06,-16.48
route,-110.08,-14.48
route,-110.10,-12.48
route,-110.12,-10.48
route,-110.15,-8.48
route,-110.17,-6.48
route,-110.19,-4.48
route,-110.21,-2.48
route,-110.24,-0.48
route,-110.26,1.52
route,-110.28,3.52
route,-110.30,5.52
route,-110.33,7.52
route,-110.35,9.52
route,-110.37,11.52
route,-110.39,13.52
route,-110.25,15.79
route,-109.71,18.02
route,-108.80,20.13
route,-107.55,22.06
route,-105.99,23.74
route,-104.22,25.13
route,-102.28,26.25
route,-100.21,27.10
route,-98.04,27.65
route,-95.82,27.90
route,-93.74,27.92
route,-91.74,27.93
route,-89.74,27.93
route,-87.74,27.94
route,-85.74,27.95
route,-83.74,27.95
route,-81.74,27.96
route,-79.74,27.96
route,-77.74,27.97
route,-75.74,27.97
route,-73.74,27.98
route,-71.74,27.98
route,-69.74,27.99
route,-67.74,28.00
route,-65.74,28.00
