type,x,y
route,109.25,89.83
route,109.27,87.83
route,109.28,85.83
route,109.29,83.84
route,109.31,81.84
route,109.32,79.84
route,109.34,77.84
route,109.35,75.84
route,109.36,73.84
route,109.38,71.84
route,109.39,69.84
route,109.40,67.84
route,109.42,65.84
route,109.43,63.84
route,109.44,61.84
route,109.46,59.84
route,109.47,57.84
route,109.49,55.84
route,109.50,53.84
route,109.51,51.84
route,109.53,49.84
route,109.54,47.84
route,109.55,45.84
route,109.57,43.84
route,109.58,41.84
route,109.59,39.84
route,109.61,37.84
route,109.62,35.84
route,109.64,33.84
route,109.65,31.84
route,109.66,29.84
route,109.68,27.84
route,109.69,25.84
route,109.70,23.84
route,109.72,21.84
route,109.73,19.84
route,109.74,17.84
route,109.76,15.84
route,109.77,13.84
route,109.79,11.84
route,109.80,9.84
route,109.81,7.84
route,109.83,5.84
route,109.84,3.84
route,109.85,1.84
route,109.87,-0.16
route,109.88,-2.16
route,109.89,-4.16
route,109.91,-6.16
route,109.92,-8.16
route,109.94,-10.16
route,109.95,-12.18
route,109.95,-14.21
route,109.94,-16.21
route,109.94,-18.19
route,109.95,-20.16
route,109.97,-22.13
route,109.97,-24.32
route,109.86,-26.59
route,109.63,-28.84
route,109.29,-31.08
route,108.84,-33.30
route,108.28,-35.50
route,107.60,-37.66
route,106.81,-39.79
route,105.92,-41.87
route,104.93,-43.91
route,103.83,-45.89
route,102.63,-47.81
route,101.34,-49.67
route,99.95,-51.47
route,98.48,-53.19
route,96.92,-54.83
route,95.27,-56.39
route,93.56,-57.87
route,91.76,-59.25
route,89.90,-60.55
route,87.98,-61.75
route,86.00,-62.85
route,83.97,-63.85
route,81.88,-64.74
route,79.76,-65.53
route,77.59,-66.20
route,75.40,-66.77
route,73.18,-67.23
route,70.94,-67.57
route,68.69,-67.80
route,66.42,-67.91
route,64.29,-67.92
route,62.29,-67.92
route,60.29,-67.92
route,58.29,-67.92
route,56.29,-67.92
route,54.29,-67.92
route,52.29,-67.92
route,50.29,-67.92
route,48.29,-67.92
route,46.29,-67.92
route,44.29,-67.92
route,42.29,-67.91
route,40.29,-67.91
route,38.29,-67.91
route,36.29,-67.91
route,34.29,-67.91
route,32.29,-67.91
ego,109.25,89.83
ego,109.25,89.83
ego,109.25,89.83
ego,109.25,89.83
ego,109.25,89.83
ego,109.25,89.83
ego,109.25,89.83
ego,109.25,89.83
ego,109.25,89.83
ego,109.25,89.83
ego,109.25,89.83
ego,109.25,89.83
ego,109.25,89.83
ego,109.25,89.83
ego,109.25,89.83
