type,x,y
route,-27.81,-61.28
route,-25.81,-61.26
route,-23.81,-61.24
route,-21.81,-61.22
route,-19.81,-61.20
route,-17.81,-61.18
route,-15.81,-61.16
route,-13.81,-61.14
route,-11.81,-61.12
route,-9.81,-61.10
route,-7.81,-61.08
route,-5.81,-61.06
route,-3.81,-61.03
route,-1.82,-61.01
route,0.18,-60.98
route,2.18,-60.94
route,4.19,-60.92
route,6.20,-60.90
route,8.21,-60.90
route,10.21,-60.90
route,12.21,-60.90
route,14.21,-60.90
route,16.21,-60.90
route,18.21,-60.90
route,20.21,-60.91
route,22.21,-60.91
route,24.21,-60.91
route,26.21,-60.91
route,28.21,-60.91
route,30.21,-60.91
route,32.21,-60.91
route,34.21,-60.91
route,36.21,-60.91
route,38.21,-60.91
route,40.21,-60.91
route,42.21,-60.91
route,44.21,-60.92
route,46.21,-60.92
route,48.21,-60.92
route,50.21,-60.92
route,52.21,-60.92
route,54.21,-60.92
route,56.21,-60.92
route,58.21,-60.92
route,60.21,-60.92
route,62.21,-60.92
route,64.21,-60.92
route,66.17,-60.91
route,68.08,-60.82
route,69.98,-60.63
route,71.87,-60.35
route,73.74,-59.97
route,75.59,-59.50
route,77.42,-58.93
route,79.21,-58.27
route,80.97,-57.52
route,82.69,-56.68
route,84.36,-55.76
route,85.98,-54.75
route,87.55,-53.66
route,89.07,-52.49
route,90.52,-51.25
route,91.91,-49.94
route,93.23,-48.56
route,94.47,-47.11
route,95.65,-45.60
route,96.74,-44.03
route,97.75,-42.41
route,98.68,-40.74
route,99.53,-39.03
route,100.28,-37.27
route,100.95,-35.48
route,101.52,-33.66
route,102.00,-31.81
route,102.39,-29.94
route,102.68,-28.05
route,102.87,-26.15
route,102.97,-24.24
route,102.97,-22.31
route,102.95,-20.30
route,102.94,-18.29
route,102.94,-16.28
route,102.95,-14.28
route,102.95,-12.29
route,102.94,-10.30
route,102.92,-8.30
route,102.91,-6.30
route,102.90,-4.30
route,102.88,-2.30
route,102.87,-0.30
route,102.85,1.70
route,102.84,3.70
route,102.83,5.70
route,102.81,7.70
route,102.80,9.70
route,102.79,11.70
route,102.77,13.70
route,102.76,15.70
route,102.75,17.70
route,102.73,19.70
route,102.72,21.70
route,102.70,23.70
route,102.69,25.70
route,102.68,27.70
route,102.66,29.70
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.80,-61.28
ego,-27.79,-61.28
ego,-27.74,-61.28
ego,-27.65,-61.28
ego,-27.55,-61.28
ego,-27.43,-61.28
ego,-27.29,-61.28
ego,-27.14,-61.28
ego,-26.97,-61.28
ego,-26.79,-61.27
ego,-26.60,-61.27
ego,-26.40,-61.27
ego,-26.18,-61.27
ego,-25.96,-61.27
ego,-25.73,-61.26
ego,-25.50,-61.26
ego,-25.26,-61.26
ego,-25.02,-61.25
ego,-24.77,-61.25
ego,-24.53,-61.25
ego,-24.28,-61.25
ego,-24.04,-61.26
ego,-23.80,-61.27
ego,-23.56,-61.27
ego,-23.32,-61.27
ego,-23.09,-61.27
ego,-22.86,-61.27
ego,-22.64,-61.27
ego,-22.43,-61.26
ego,-22.22,-61.26
ego,-22.02,-61.26
ego,-21.82,-61.25
ego,-21.63,-61.24
ego,-21.44,-61.24
ego,-21.25,-61.23
ego,-21.07,-61.23
ego,-20.88,-61.24
ego,-20.70,-61.23
ego,-20.51,-61.23
ego,-20.32,-61.24
ego,-20.13,-61.24
ego,-19.93,-61.24
ego,-19.73,-61.24
ego,-19.52,-61.24
ego,-19.31,-61.24
ego,-19.10,-61.24
ego,-18.88,-61.24
ego,-18.66,-61.25
ego,-18.43,-61.25
ego,-18.20,-61.25
ego,-17.97,-61.25
ego,-17.74,-61.24
ego,-17.51,-61.24
ego,-17.28,-61.23
ego,-17.05,-61.21
ego,-16.83,-61.20
ego,-16.61,-61.19
ego,-16.39,-61.18
ego,-16.19,-61.17
ego,-15.98,-61.16
ego,-15.79,-61.15
ego,-15.60,-61.14
ego,-15.41,-61.13
ego,-15.23,-61.12
ego,-15.06,-61.11
ego,-14.89,-61.10
ego,-14.73,-61.09
ego,-14.58,-61.08
ego,-14.42,-61.08
ego,-14.28,-61.07
ego,-14.14,-61.07
ego,-14.00,-61.06
ego,-13.87,-61.06
ego,-13.75,-61.05
ego,-13.63,-61.05
ego,-13.52,-61.04
ego,-13.42,-61.04
ego,-13.32,-61.03
ego,-13.23,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.20,-61.03
ego,-13.19,-61.03
ego,-13.18,-61.03
ego,-13.17,-61.03
ego,-13.14,-61.03
ego,-13.10,-61.03
ego,-13.05,-61.04
ego,-12.99,-61.04
ego,-12.91,-61.04
ego,-12.82,-61.05
ego,-12.72,-61.05
ego,-12.61,-61.06
ego,-12.48,-61.06
ego,-12.35,-61.06
ego,-12.19,-61.07
ego,-12.03,-61.07
ego,-11.85,-61.07
ego,-11.66,-61.07
ego,-11.46,-61.07
ego,-11.25,-61.07
ego,-11.03,-61.07
ego,-10.80,-61.07
ego,-10.56,-61.07
ego,-10.33,-61.07
ego,-10.08,-61.08
ego,-9.84,-61.08
ego,-9.59,-61.07
ego,-9.35,-61.07
ego,-9.10,-61.06
