type,x,y
route,19.35,137.46
route,21.35,137.47
route,23.35,137.48
route,25.35,137.49
route,27.35,137.50
route,29.35,137.52
route,31.35,137.53
route,33.35,137.54
route,35.35,137.55
route,37.35,137.56
route,39.35,137.57
route,41.35,137.58
route,43.35,137.59
route,45.35,137.61
route,47.35,137.62
route,49.35,137.63
route,51.35,137.64
route,53.35,137.65
route,55.35,137.66
route,57.35,137.67
route,59.35,137.68
route,61.35,137.69
route,63.35,137.71
route,65.38,137.71
route,67.48,137.63
route,69.56,137.42
route,71.64,137.11
route,73.69,136.68
route,75.71,136.14
route,77.70,135.49
route,79.66,134.73
route,81.57,133.86
route,83.42,132.89
route,85.23,131.82
route,86.97,130.65
route,88.64,129.38
route,90.24,128.03
route,91.76,126.59
route,93.20,125.07
route,94.56,123.47
route,95.82,121.84
route,97.02,120.15
route,98.15,118.41
route,99.21,116.63
route,100.19,114.80
route,101.10,112.94
route,101.93,111.04
route,102.68,109.11
route,103.35,107.15
route,103.94,105.16
route,104.45,103.16
route,104.87,101.13
route,105.21,99.08
route,105.47,97.03
route,105.64,94.96
route,105.73,92.89
route,105.75,90.87
route,105.76,88.87
route,105.77,86.87
route,105.79,84.87
route,105.80,82.87
route,105.81,80.87
route,105.83,78.87
route,105.84,76.87
route,105.86,74.87
route,105.87,72.87
route,105.88,70.87
route,105.90,68.87
route,105.91,66.87
route,105.92,64.87
route,105.94,62.87
route,105.95,60.87
route,105.96,58.87
route,105.98,56.87
route,105.99,54.87
route,106.01,52.87
route,106.02,50.87
route,106.03,48.87
route,106.05,46.87
route,106.06,44.87
route,106.07,42.87
route,106.09,40.87
route,106.10,38.87
route,106.11,36.87
route,106.11,34.81
route,105.94,32.63
route,105.53,30.49
route,104.90,28.39
route,104.06,26.38
route,103.00,24.47
route,101.75,22.67
route,100.23,21.00
route,98.47,19.58
route,96.51,18.44
route,94.41,17.61
route,92.20,17.10
route,89.95,16.93
route,87.95,16.93
route,85.95,16.92
route,83.95,16.92
route,81.95,16.91
route,79.95,16.91
route,77.95,16.90
route,75.95,16.90
route,73.95,16.89
ego,19.35,137.46
ego,19.35,137.46
ego,19.35,137.46
